,colorp,latitud,longitud,magnitud,profundidad,sizem,zfolder
373,#E25D00,1.049026199026199,-79.9742751,8.4,15,23,"29062022202021_1.049026199026199_79.9742751_M8.4_15km
"
374,#E6B900,1.049026199026199,-79.9742751,8.4,20,23,"29062022202021_1.049026199026199_79.9742751_M8.4_20km
"
375,#08C900,1.049026199026199,-79.9742751,8.4,25,23,"29062022202021_1.049026199026199_79.9742751_M8.4_25km
"
376,#00C9B8,1.049026199026199,-79.9742751,8.4,30,23,"29062022202021_1.049026199026199_79.9742751_M8.4_30km
"
377,#0087C9,1.049026199026199,-79.9742751,8.4,35,23,"29062022202021_1.049026199026199_79.9742751_M8.4_35km
"
378,#D10000,1.049026199026199,-80.02,8.4,10,23,"29062022202021_1.049026199026199_80.02_M8.4_10km
"
379,#E25D00,1.049026199026199,-80.02,8.4,15,23,"29062022202021_1.049026199026199_80.02_M8.4_15km
"
380,#E6B900,1.049026199026199,-80.02,8.4,20,23,"29062022202021_1.049026199026199_80.02_M8.4_20km
"
381,#08C900,1.049026199026199,-80.02,8.4,25,23,"29062022202021_1.049026199026199_80.02_M8.4_25km
"
382,#00C9B8,1.049026199026199,-80.02,8.4,30,23,"29062022202021_1.049026199026199_80.02_M8.4_30km
"
383,#0087C9,1.049026199026199,-80.02,8.4,35,23,"29062022202021_1.049026199026199_80.02_M8.4_35km
"
384,#D10000,1.049026199026199,-80.0657248,8.4,10,23,"29062022202021_1.049026199026199_80.0657248_M8.4_10km
"
385,#E25D00,1.049026199026199,-80.0657248,8.4,15,23,"29062022202021_1.049026199026199_80.0657248_M8.4_15km
"
386,#E6B900,1.049026199026199,-80.0657248,8.4,20,23,"29062022202021_1.049026199026199_80.0657248_M8.4_20km
"
387,#08C900,1.049026199026199,-80.0657248,8.4,25,23,"29062022202021_1.049026199026199_80.0657248_M8.4_25km
"
388,#00C9B8,1.049026199026199,-80.0657248,8.4,30,23,"29062022202021_1.049026199026199_80.0657248_M8.4_30km
"
389,#0087C9,1.049026199026199,-80.0657248,8.4,35,23,"29062022202021_1.049026199026199_80.0657248_M8.4_35km
"
